Month_Year,Max_Pressure_mbar,Min_Dew_Point_C
2009-01,1005.71,-25.01
2009-02,1001.71,-12.31
2009-03,1005.52,-7.98
2009-04,998.08,-2.72
2009-05,1001.89,-0.3
2009-06,999.59,0.42
2009-07,998.13,5.82
2009-08,999.34,4.35
2009-09,1003.64,4.47
2009-10,1003.12,-4.06
2009-11,1000.64,-2.23
2009-12,999.82,-19.69
2010-01,1012.47,-19.61
2010-02,995.51,-16.02
2010-03,1005.71,-13.73
2010-04,1003.54,-8.29
2010-05,1001.05,-2.79
2010-06,996.82,1.92
2010-07,1000.53,2.36
2010-08,997.58,3.9
2010-09,998.67,2.96
2010-10,1001.75,-2.65
2010-11,994.17,-11.28
2010-12,1000.42,-17.35
2011-01,1005.86,-11.58
2011-02,1004.02,-16.41
2011-03,1012.03,-17.09
2011-04,999.59,-4.14
2011-05,1002.96,-5.61
2011-06,1005.08,3.09
2011-07,994.15,4.12
2011-08,997.33,4.04
2011-09,1005.68,3.55
2011-10,1008.51,-4.1
2011-11,1008.32,-5.77
2011-12,1009.01,-5.73
2012-01,1005.69,-14.61
2012-02,1012.84,-23.39
2012-03,1010.06,-7.05
2012-04,991.57,-8.77
2012-05,1005.91,-2.53
2012-06,997.19,1.63
2012-07,1003.38,6.27
2012-08,999.19,6.14
2012-09,1000.3,2.05
2012-10,999.77,-6.36
2012-11,1006.81,-4.02
2012-12,1001.45,-13.77
2013-01,1004.58,-11.83
2013-02,1004.94,-11.53
2013-03,998.58,-16.25
2013-04,1002.49,-9.39
2013-05,998.07,1.14
2013-06,998.96,1.9
2013-07,1004.3,7.67
2013-08,1001.95,5.83
2013-09,1001.66,0.99
2013-10,1001.16,-2.54
2013-11,1006.99,-6.67
2013-12,1008.94,-5.39
2014-01,997.9,-11.6
2014-02,997.39,-4.46
2014-03,1008.41,-3.13
2014-04,1004.06,-6.25
2014-05,1004.68,-0.97
2014-06,1000.31,3.45
2014-07,997.72,3.26
2014-08,993.21,3.1
2014-09,1002.21,3.89
2014-10,1003.14,-1.01
2014-11,1001.0,-1.71
2014-12,1007.63,-11.24
2015-01,1009.07,-5.53
2015-02,1013.94,-8.39
2015-03,1008.9,-4.65
2015-04,1009.06,-6.33
2015-05,1001.65,-0.3
2015-06,1002.11,4.16
2015-07,998.21,4.05
2015-08,1000.02,5.33
2015-09,1010.11,2.54
2015-10,1006.43,-3.87
2015-11,1005.34,-4.64
2015-12,1011.36,-7.64
2016-01,1007.5,-15.56
2016-02,1010.01,-6.32
2016-03,1008.91,-4.57
2016-04,1003.52,-4.85
2016-05,1002.08,-2.02
2016-06,997.82,3.28
2016-07,999.21,5.69
2016-08,1001.83,3.21
2016-09,1001.38,4.72
2016-10,1007.13,2.43
2016-11,1008.52,-9.19
2016-12,1015.35,-9.68
2017-01,999.82,-8.42
